time,R01_STAGE,R02_STAGE,R03_STAGE,R04_STAGE,R01_FLOW,R02_FLOW,R03_FLOW,R04_FLOW
0.000000000000,1078.416813238122,1061.581000000000,1026.282900306284,993.3116036254467,-16.43189253798164,-3.585581624015077,-3.701891106164376,-153.6771668134829
1355673.543892,1078.416812766165,1061.581000000000,1026.256828884690,993.3093232010542,-16.43187884193510,-3.577099621359542,-3.310198922542645,-153.2722968565539
2846914.442173,1078.416809557557,1061.581000000000,1026.203462662028,993.3046702307757,-16.43178572926045,-3.546497929596302,-2.568906750270946,-152.4467658165640
4487279.430282,1078.416797300174,1061.581000000000,1026.131178893495,993.2986153312194,-16.43143002618756,-3.478533538108155,-1.701811834966050,-151.3741464238805
6291680.917202,1078.416762761451,1061.581000000000,1026.030258340178,993.2914628305336,-16.43042774551460,-3.359206414158814,-.7845732602495108,-150.1101060662535
8276522.552814,1078.416682934671,1061.581000000000,1025.986952506323,993.2866102568757,-16.42811133734235,-3.177516974593471,-.5098734232199240,-149.2530524494515
10459848.35199,1078.416523006762,1061.581000000000,1025.986455532852,993.2824692352723,-16.42347093182735,-2.926096811373703,-.5044672533905395,-148.5227953343261
12861506.73108,1078.416235699911,1061.581000000000,1025.985897840767,993.2776522517313,-16.41513579526539,-2.600824869043277,-.4984280543361456,-147.6758641749774
15503330.94808,1078.415760620921,1061.581000000000,1025.985284400049,993.2721879375994,-16.40135666407186,-2.212792680950730,-.4918188028604709,-146.7176297261800
18409337.58678,1078.415026484338,1061.581000000000,1025.984609002645,993.2660492587420,-16.38007247222596,-1.797935060237853,-.4845829010436501,-145.6440186808734
21605944.88935,1078.413955369893,1061.581000000000,1025.983870420430,993.2592827670977,-16.34903733600900,-1.305675571393920,-.4767192507396431,-144.4639799181178
25122212.92217,1078.412465771215,1061.581000000000,1025.983074334230,993.2519691649416,-16.30591380928830,-.8709589038712067,-.4683010857336922,-143.1924397735459
28990107.75828,1078.410475532732,1061.581000000000,1025.982227007961,993.2441854306933,-16.24836415070241,-.3943995050017577,-.4594071170215466,-141.8436173456479
33244792.07800,1078.407905495298,1060.545000000000,1025.981331384410,993.2359978023831,-16.17416296474200,.000000000000000,-.4500804885780417,-140.4297744359392
37924944.82969,1078.404682165582,1060.545000000000,1025.980391640632,993.2274765459734,-16.08128182495000,.000000000000000,-.4403768650916573,-138.9637400484362
43073112.85655,1078.400736726541,1060.545000000000,1025.979395959572,993.2186151906778,-15.96786835434998,.000000000000000,-.4301881545275137,-137.4451318811001
48736097.68610,1078.396006036683,1060.545000000000,1025.978339282645,993.2093315214862,-15.83228273480974,.000000000000000,-.4194798787356376,-135.8607811652730
54965380.99860,1078.390433570967,1060.545000000000,1025.977232236011,993.1997099003080,-15.67313187831907,.000000000000000,-.4083772749378295,-134.2259076362497
61817592.64235,1078.383968292949,1060.545000000000,1025.976087429979,993.1898630499080,-15.48924370715715,.000000000000000,-.3970216165261627,-132.5603167681974
69355025.45048,1078.376564634110,1060.545000000000,1025.974914055867,993.1798609940279,-15.27967274632152,.000000000000000,-.3855158947899509,-130.8763728673847
77646201.53942,1078.368468264652,1060.545000000000,1025.973717475940,993.1697272533535,-15.05172750530119,.000000000000000,-.3739224276650748,-129.1785066207745
86766495.23725,1078.367396397745,1060.545000000000,1025.972480114499,993.1593372956436,-15.02164696250740,.000000000000000,-.3620832206082196,-127.4466165297182
96798818.30487,1078.365870531682,1060.545000000000,1025.971205101994,993.1487617522160,-14.97886462211927,.000000000000000,-.3500436808578707,-125.6931140294962
107834373.6793,1078.363773117365,1060.545000000000,1025.969899244696,993.1380481452694,-14.92013216645066,.000000000000000,-.3378822744164063,-123.9264224192126
119973484.5911,1078.361035066998,1060.545000000000,1025.968565496865,993.1272282246490,-14.84359117000886,.000000000000000,-.3256393258149728,-122.1522381480072
133326506.5941,1078.357627467505,1060.545000000000,1025.967203925775,993.1163126188155,-14.74854023579154,.000000000000000,-.3133281129435455,-120.3727194093063
148014830.7974,1078.353551686665,1060.545000000000,1025.965812854765,993.1052986037678,-14.63515304168748,.000000000000000,-.3009469323237136,-118.5878223553251
164171987.4210,1078.348831422211,1060.545000000000,1025.964370231206,993.0940504921116,-14.50424798386241,.000000000000000,-.2883186894948085,-116.7762557413429
181944859.7070,1078.343506662050,1060.545000000000,1025.962873676199,993.0825583879179,-14.35710971166419,.000000000000000,-.2754481882740766,-114.9371974297283
201495019.2216,1078.337629487435,1060.545000000000,1025.961247768130,993.0706795803076,-14.19536148536515,.000000000000000,-.2617329941796379,-113.0489064231240
223000194.6876,1078.331261228910,1060.545000000000,1025.959504219487,993.0584380882812,-14.02087519703088,.000000000000000,-.2473384724922471,-111.1163236735814
246655887.7003,1078.324470272034,1060.545000000000,1025.957679467568,993.0459181178645,-13.83569998613103,.000000000000000,-.2326244008691174,-109.1537726754044
272677150.0142,1078.322349166427,1060.545000000000,1025.955781344563,993.0331615755830,-13.77805106074701,.000000000000000,-.2177041637142611,-107.1687110684599
301300538.5595,1078.322349166427,1060.545000000000,1025.953812597008,993.0202076047237,-13.77805106074701,.000000000000000,-.2026496031425631,-105.1679954360668
332786265.9593,1078.322349166427,1060.545000000000,1025.951775602432,993.0071031906493,-13.77805106074701,.000000000000000,-.1875307369588700,-103.1595110718521
367420566.0992,1078.322349166427,1060.545000000000,1025.949672002654,992.9938801553099,-13.77805106074701,.000000000000000,-.1724135912962993,-101.1486745878546
405518296.2530,1078.322349166427,1060.545000000000,1025.947503419266,992.9806093187133,-13.77805106074701,.000000000000000,-.1573660583498713,-99.14663893448423
447425799.4222,1078.322349166427,1060.545000000000,1025.945271331663,992.9673470356204,-13.77805106074701,.000000000000000,-.1424573092970422,-97.16199862965537
493524052.9083,1078.322349166427,1060.545000000000,1025.942976441367,992.9541492776361,-13.77805106074701,.000000000000000,-.1277542585836636,-95.20302217417552
544232131.7430,1078.322349166427,1060.545000000000,1025.940620657932,992.9410826989513,-13.77805106074701,.000000000000000,-.1133349193648974,-93.27928599735432
600011018.4612,1078.322349166427,1060.545000000000,1025.938206381567,992.9282225901677,-13.77805106074701,.000000000000000,-.9928306162244553E-01,-91.40131389777666
661367793.8512,1078.322349166427,1060.545000000000,1025.935736272516,992.9156514830798,-13.77805106074701,.000000000000000,-.8568674956528412E-01,-89.58032848377113
728860246.7802,1078.322349166427,1060.545000000000,1025.933212971510,992.9034577940990,-13.77805106074701,.000000000000000,-.7263719334920098E-01,-87.82802701210662
803101945.0021,1078.322349166427,1060.545000000000,1025.930638429891,992.8917336259799,-13.77805106074701,.000000000000000,-.6022660473396173E-01,-86.15625754348719
884767813.0462,1078.322349166427,1060.545000000000,1025.928012738142,992.8805721074217,-13.77805106074701,.000000000000000,-.4854598251453354E-01,-84.57665526921768
974600267.8948,1078.322349166427,1060.545000000000,1025.925331850363,992.8700638937603,-13.77805106074701,.000000000000000,-.3768233995766423E-01,-83.10018869294721
1073415968.228,1078.322349166427,1060.545000000000,1025.922581438680,992.8602898787876,-13.77805106074701,.000000000000000,-.2771119066846950E-01,-81.73620930664698
1182113238.595,1078.322349166427,1060.545000000000,1025.919726868191,992.8513211201125,-13.77805106074701,.000000000000000,-.1870109943109128E-01,-80.49253926651460
1301680235.998,1078.322349166427,1060.545000000000,1025.916681507195,992.8432158401570,-13.77805106074701,.000000000000000,-.1071905020295162E-01,-79.37515586039150
1433203933.142,1078.322349166427,1060.545000000000,1025.913158637905,992.8360113299673,-13.77805106074701,.000000000000000,-.3854759409659892E-02,-78.38726653925248
1577880000.000,1078.322349166427,1060.545000000000,1025.909000000000,992.8297198796321,-13.77805106074701,.000000000000000,.000000000000000,-77.52864812328808
1579235673.544,1078.322349166427,1060.545000000000,1025.909000000000,992.8296610660386,-13.77805106074701,.000000000000000,.000000000000000,-77.52063932350589
1580726914.442,1078.322349166427,1060.545000000000,1025.909000000000,992.8295964952276,-13.77805106074701,.000000000000000,.000000000000000,-77.51184698792359
1582367279.430,1078.322349166427,1060.545000000000,1025.909000000000,992.8295256580028,-13.77805106074701,.000000000000000,.000000000000000,-77.50220184974749
1584171680.917,1078.322349166427,1060.545000000000,1025.909000000000,992.8294479847499,-13.77805106074701,.000000000000000,.000000000000000,-77.49162647084482
1586156522.553,1078.322349166427,1060.545000000000,1025.909000000000,992.8293628500554,-13.77805106074701,.000000000000000,.000000000000000,-77.48003585817716
1588339848.352,1078.322349166427,1060.545000000000,1025.909000000000,992.8292695731925,-13.77805106074701,.000000000000000,.000000000000000,-77.46733752805888
1590741506.731,1078.322349166427,1060.545000000000,1025.909000000000,992.8291674165918,-13.77805106074701,.000000000000000,.000000000000000,-77.45343130225167
1593383330.948,1078.322349166427,1060.545000000000,1025.909000000000,992.8290555834425,-13.77805106074701,.000000000000000,.000000000000000,-77.43820898901835
1596289337.587,1078.322349166427,1060.545000000000,1025.909000000000,992.8289332150289,-13.77805106074701,.000000000000000,.000000000000000,-77.42155403054576
1599485944.889,1078.322349166427,1060.545000000000,1025.909000000000,992.8287993881454,-13.77805106074701,.000000000000000,.000000000000000,-77.40334116303356
1603002212.922,1078.322349166427,1060.545000000000,1025.909000000000,992.8286531128175,-13.77805106074701,.000000000000000,.000000000000000,-77.38343612019663
1606870107.758,1078.322349166427,1060.545000000000,1025.909000000000,992.8284933305181,-13.77805106074701,.000000000000000,.000000000000000,-77.36169540636385
1611124792.078,1078.322349166427,1060.545000000000,1025.909000000000,992.8283189130763,-13.77805106074701,.000000000000000,.000000000000000,-77.33796616604218
1615804944.830,1078.322349166427,1060.545000000000,1025.909000000000,992.8281286624970,-13.77805106074701,.000000000000000,.000000000000000,-77.31208617999269
1620953112.857,1078.322349166427,1060.545000000000,1025.909000000000,992.8279213119491,-13.77805106074701,.000000000000000,.000000000000000,-77.28388402282231
1626616097.686,1078.322349166427,1060.545000000000,1025.909000000000,992.8276955282162,-13.77805106074701,.000000000000000,.000000000000000,-77.25317942245208
1632845380.999,1078.322349166427,1060.545000000000,1025.909000000000,992.8274499159560,-13.77805106074701,.000000000000000,.000000000000000,-77.21978386847880
1639697592.642,1078.322349166427,1060.545000000000,1025.909000000000,992.8271830241544,-13.77805106074701,.000000000000000,.000000000000000,-77.18350152128889
1647235025.450,1078.322349166427,1060.545000000000,1025.909000000000,992.8268933552708,-13.77805106074701,.000000000000000,.000000000000000,-77.14413049101655
1655526201.539,1078.322349166427,1060.545000000000,1025.909000000000,992.8265793774435,-13.77805106074701,.000000000000000,.000000000000000,-77.10146453170147
1664646495.237,1078.322349166427,1060.545000000000,1025.909000000000,992.8262395404613,-13.77805106074701,.000000000000000,.000000000000000,-77.05529525105808
1674678818.305,1078.322349166427,1060.545000000000,1025.909000000000,992.8258722959628,-13.77805106074701,.000000000000000,.000000000000000,-77.00541489316532
1685714373.679,1078.322349166427,1060.545000000000,1025.909000000000,992.8254761225003,-13.77805106074701,.000000000000000,.000000000000000,-76.95161978044983
1697853484.591,1078.322349166427,1060.545000000000,1025.909000000000,992.8250495560579,-13.77805106074701,.000000000000000,.000000000000000,-76.89371449193183
1711206506.594,1078.322349166427,1060.545000000000,1025.909000000000,992.8245912265760,-13.77805106074701,.000000000000000,.000000000000000,-76.83151684964032
1725894830.797,1078.322349166427,1060.545000000000,1025.909000000000,992.8240999009515,-13.77805106074701,.000000000000000,.000000000000000,-76.76486377275556
1742051987.421,1078.322349166427,1060.545000000000,1025.909000000000,992.8235745328257,-13.77805106074701,.000000000000000,.000000000000000,-76.69361803674258
1759824859.707,1078.322349166427,1060.545000000000,1025.909000000000,992.8230143193416,-13.77805106074701,.000000000000000,.000000000000000,-76.61767595481406
1779375019.222,1078.322349166427,1060.545000000000,1025.909000000000,992.8224187644956,-13.77805106074701,.000000000000000,.000000000000000,-76.53697592776743
1800880194.688,1078.322349166427,1060.545000000000,1025.909000000000,992.8217877486614,-13.77805106074701,.000000000000000,.000000000000000,-76.45150779276756
1824535887.700,1078.322349166427,1060.545000000000,1025.909000000000,992.8211216030169,-13.77805106074701,.000000000000000,.000000000000000,-76.36132279501955
1850557150.014,1078.322349166427,1060.545000000000,1025.909000000000,992.8204211871056,-13.77805106074701,.000000000000000,.000000000000000,-76.26654393420675
1879180538.560,1078.322349166427,1060.545000000000,1025.909000000000,992.8196879669465,-13.77805106074701,.000000000000000,.000000000000000,-76.16737633003669
1910666265.959,1078.322349166427,1060.545000000000,1025.909000000000,992.8189240902077,-13.77805106074701,.000000000000000,.000000000000000,-76.06411713195547
1945300566.099,1078.322349166427,1060.545000000000,1025.909000000000,992.8181324541168,-13.77805106074701,.000000000000000,.000000000000000,-75.95716438914494
1983398296.253,1078.322349166427,1060.545000000000,1025.909000000000,992.8173167603841,-13.77805106074701,.000000000000000,.000000000000000,-75.84702410778110
2025305799.422,1078.322349166427,1060.545000000000,1025.909000000000,992.8164815514140,-13.77805106074701,.000000000000000,.000000000000000,-75.73431474433714
2071404052.908,1078.322349166427,1060.545000000000,1025.909000000000,992.8156322200712,-13.77805106074701,.000000000000000,.000000000000000,-75.61976809757113
2122112131.743,1078.322349166427,1060.545000000000,1025.909000000000,992.8147749861498,-13.77805106074701,.000000000000000,.000000000000000,-75.50422571288537
2177891018.461,1078.322349166427,1060.545000000000,1025.909000000000,992.8139168321512,-13.77805106074701,.000000000000000,.000000000000000,-75.38862983306997
2239247793.851,1078.322349166427,1060.545000000000,1025.909000000000,992.8130653920266,-13.77805106074701,.000000000000000,.000000000000000,-75.27400808290545
2306740246.780,1078.322349166427,1060.545000000000,1025.909000000000,992.8122287887034,-13.77805106074701,.000000000000000,.000000000000000,-75.16145137046418
2380981945.002,1078.322349166427,1060.545000000000,1025.909000000000,992.8114154189676,-13.77805106074701,.000000000000000,.000000000000000,-75.05208485474358
2462647813.046,1078.322349166427,1060.545000000000,1025.909000000000,992.8106336884466,-13.77805106074701,.000000000000000,.000000000000000,-74.94703238408258
2552480267.895,1078.322349166427,1060.545000000000,1025.909000000000,992.8098917048363,-13.77805106074701,.000000000000000,.000000000000000,-74.84737552032581
2651295968.228,1078.322349166427,1060.545000000000,1025.909000000000,992.8091969432768,-13.77805106074701,.000000000000000,.000000000000000,-74.75410901616740
2759993238.595,1078.322349166427,1060.545000000000,1025.909000000000,992.8085559038348,-13.77805106074701,.000000000000000,.000000000000000,-74.66809540159264
2879560235.998,1078.322349166427,1060.545000000000,1025.909000000000,992.8079737864209,-13.77805106074701,.000000000000000,.000000000000000,-74.59002202981475
3011083933.142,1078.322349166427,1060.545000000000,1025.909000000000,992.8074542120348,-13.77805106074701,.000000000000000,.000000000000000,-74.52036439086481
3155760000.000,1078.322349166427,1060.545000000000,1025.909000000000,992.8069990197382,-13.77805106074701,.000000000000000,.000000000000000,-74.45935955679120
